pid	n_ppi	cell_names	n_annotations	specificity
28514442	56297	MCF-10A,HEK293T,HeLa,HCT 116,MCF-10AT	5	5-9
26186194	23663	HEK293T,HeLa,SH-SY5Y,HeLa S3	4	2-4
26344197	16625	HeLa,Schneider 2,HCT 116,HEK293	4	2-4
26496610	15458	HeLa Kyoto	1	1
25416956	14233	HEK	1	1
22939629	13912	HeLa,HEK293,HeLa S3	3	2-4
22863883	7140	HeLa	1	1
17353931	5894	HEK293	1	1
29568061	5688	T-REx-293,HeLa,DU145	3	2-4
26638075	5513	T-REx-293,U2OS,HeLa,hTERT-RPE1	4	2-4
27173435	4985	HEK293T,HeLa,HEK293	3	2-4
21145461	4444	HEK293T,HeLa	2	2-4
21988832	3518	HEK293T,HEK293	2	2-4
27684187	3487	JON,HCT 116,LS513,NCI-H1975,HT-29,SW480	6	5-9
25609649	3385	MCF-10A,HEK293T,293T/AT1,U2OS	4	2-4
19293945	3083	S10F03,FW3-47,F56 [Mouse hybridoma]	3	2-4
20562859	2972	HEK293T,BL-21,U2OS	3	2-4
28515276	2800	HeLa,H1HeLa	2	2-4
27499296	2736	HEK,Hep-G2,HEK293	3	2-4
29845934	2244	HEK293T,Jurkat,Schneider 1,HeLa	4	2-4
29117863	2208	BL-21,PANC 3.014,HeLa,HEK293	4	2-4
29509190	2173	MCF-7	1	1
26972000	2051	HEK293T,RKO	2	2-4
29128334	1915	CT 1,HEK293T,BV-2,Jurkat,R-3327-H,NTERA-2,HEK293,N9,SH-SY5Y	9	5-9
24457600	1773	VCaP,LNCaP,BT-549,DU145,HEK293	5	5-9
24711643	1700	MRC-5,Hs 923.Sk,HEK293	3	2-4
19615732	1667	HEK293T,HEK,HCT 116,NAL1A clone C4SE9,HEK293	5	5-9
25036637	1211	HEK293T,HeLa	2	2-4
29180619	1201	U2OS,MEF (C57BL/6)	2	2-4
21516116	1167	CHO-K1	1	1
22623428	1049	K-562,B16-F10	2	2-4
19738201	1046	K-562,MEF (C57BL/6)	2	2-4
26673895	1033	HeLa Kyoto,HeLa,HF-1 [Human follicular lymphoma]	3	2-4
24332808	1005	HEK293T,HeLa,HCT 116	3	2-4
28977666	1000	A-431,96-1,Sf21,BL-21,T-REx-293,U2OS,HeLa,HEK293	8	5-9
28298427	997	HEK293T,HeLa,HEK293,EC9706 clone EC2	4	2-4
22990118	948	MCF-10A,HCC1937,HeLa,HCT 116,HEK293-FT,MCF-10AT,MDA-MB-231	7	5-9
25963833	924	GM00291,T-REx-293,U2OS,Schneider 2	4	2-4
25281560	811	T-REx-293,HEK293,CFK	3	2-4
28628118	798	NCI-H1299,HEK293T,HeLa,MCF-7,HCT 116	5	5-9
26871637	762	HEK293T	1	1
22939624	760	HEK293T	1	1
27107012	718	ACC-LC-80	1	1
23414517	702	MRC-5	1	1
20936779	695	HeLa,HEK293	2	2-4
26687479	675	HEK293T,HeLa,NTERA-2,NIH 3T3,HEK293	5	5-9
20211142	672	IF6,CHO-K1	2	2-4
28065597	659	HEK293T,OV-90,T-REx-293,HEK293	4	2-4
29507755	657	HEK293T,HeLa	2	2-4
25910212	652	HEK293T,HEK293	2	2-4
25814554	642	MDA-MB-231,HEK293	2	2-4
26618866	635	HMN-1,HEK293T,Calu-3,HBE1	4	2-4
28877994	588	MDCK,HEK293-FT,HEK293	3	2-4
27591049	561	Sf9,U2OS,HCT 116	3	2-4
25468996	553	MDCK,Schneider 2	2	2-4
29426014	538	T-REx-293,NCI-H1299,HEK293T,U2OS,HeLa,HaCaT,PC12,SK-N-SH,SiHa,SH-SY5Y	10	10+
28561026	534	T-REx-293,HeLa,EcR-293,HEK293,HeLa S3	5	5-9
25665578	516	HEK293T,HFF-1,THP-1,HL-60,60,U2OS,HEK293	7	5-9
24189400	513	HCC827,H157,NCI-H2170,HCC4006,HCC827ER,DD2992,NCI-H1703,PC-9-GR-high,HCC4006/R	9	5-9
24366813	513	Flp-In-T-REx-293,T-REx-293,HEK293/AT1,HEK293	4	2-4
25798074	510	T-REx-293,HEK293T,SC,HeLa,QGY-7703,hTERT-RPE1,HEK293	7	5-9
22493164	501	HeLa	1	1
28581483	501	J3T,BJ1-hTERT,HEK293T,HFF-1,aBJ-2,HCT 116,HCC95,HEK293	8	5-9
27503909	463	HEK293T,U2OS,SH-SY5Y	3	2-4
24999758	423	HEK293T,TC-71,262C,HeLa,HEK293	5	5-9
27545878	414	K-562,BL-21,NCTC clone 929,U-937,HeLa,HEK293,A-549	7	5-9
21903422	412	NCTC clone 929,MEF (C57BL/6),RAW 264.7,HEK293	4	2-4
26949251	406	BJ1-hTERT,MaTi,HeLa B,U2OS,HeLa,HFF-1,MEF (C57BL/6),HCT 116,NIH 3T3	9	5-9
21150319	405	Rat1,HO15.19	2	2-4
20926688	403	U2OS,HeLa	2	2-4
23752268	401	CCRF-CEM,HeLa,HEK293	3	2-4
25324306	392	HEK293	1	1
19156129	389	HEK293	1	1
23084401	354	HEK293	1	1
24623722	337	CMT-2,U2OS	2	2-4
19690564	335	HEK293T,BL-21,U2OS	3	2-4
23398456	328	HEK,U2OS,HeLa,MEF (C57BL/6),NIH 3T3,HEK293	6	5-9
30217970	327	HEK293T	1	1
28685749	319	HEK293-FT,T-REx-293,R-3327-H,HEK293	4	2-4
26777405	315	U2OS	1	1
26752685	311	HEK293T,Z2,HEK293	3	2-4
29511261	308	H9,MEF (C57BL/6),WA09,WA01	4	2-4
29513927	307	HEK293T	1	1
29911972	302	CLXXVI-3C11-F14,HEK293T,HeLa Kyoto,BJ1-hTERT,Sf9,Hepa 1-6,U2OS,HeLa,mAb 239,HEK293	10	10+
22119785	295	HeLa,HEK293	2	2-4
20811636	292	HEK293T,T-REx-293,U2OS	3	2-4
23383273	288	HeLa,HEK293	2	2-4
25260751	285	BL-21,NIH 3T3,Sf9,MEF (C57BL/6),HEK293	5	5-9
26389662	284	PC-10,HEK293T,hTERT-RPE1,HeLa	4	2-4
23667531	283	U-87MG ATCC,BxPC-3,HEK293T,MCF-7,LN-229,Daoy	6	5-9
26725010	261	T-REx-293,HEK293T,U2OS,HCT 116,Jurkat	5	5-9
20360068	247	HeLa	1	1
19060904	245	2061H	1	1
27926873	245	MCF-7,MDA-MB-231,MEF (C57BL/6),JAR	4	2-4
23125841	240	HEK293T,Jurkat,55-2,HeLa	4	2-4
26641092	239	AND-1,HeLa,Jurkat,HEK293	4	2-4
19596235	238	HEK293T,HT-1080,U2OS,HeLa,HEK293	5	5-9
23246001	238	HEK293T,HEK293	2	2-4
23349634	235	NIH 3T3,HeLa,EcR-293,HEK293,HeLa S3	5	5-9
30258100	235	Sf21,U2OS,Schneider 2,KBM-7,HEK293	5	5-9
20186120	234	T-REx-293,HEK293T,J26,HeLa	4	2-4
25277244	232	AsPC-1,HeLa,LNCaP,H9c2(2-1),PC-3	5	5-9
28902428	229	A-549	1	1
17500595	226	HeLa,MEF (C57BL/6),HAP1,HEK293	4	2-4
30108113	226	T-REx-293,LoVo,HeLa,LS174T,HCT 116,HT-29,NIH 3T3,10/9CRC1,SW480	9	5-9
20020773	223	2H9,HEK293T,HeLa,GM03403,HEK293	5	5-9
25756610	220	HMN-1,HEK293T,Sf9,SIKR-OSB,U2OS,MEF (C57BL/6)	6	5-9
28007913	213	HaCaT,HUVEC-C	2	2-4
19953087	211	HEK293T,MEF (C57BL/6)	2	2-4
26217791	209	HEK293T,SH-SY5Y	2	2-4
25659154	204	Hep-G2,HT115,HeLa,HEK293	4	2-4
24244333	202	HEK293T,SH-SY5Y	2	2-4
24728074	201	HeLa	1	1
27229929	196	K-562,2061H,HEK,U2OS,HeLa,HEK293	6	5-9
29021621	194	NIH 3T3,U2OS,HeLa,HCT 116	4	2-4
26527279	191	U2OS,HeLa,HeLa S3	3	2-4
21565611	189	HEK293T,MDCK,S12 [Human keratinocytes],NIH 3T3,MEF (C57BL/6)	5	5-9
22325352	189	Sf9,T-REx-293,K-562,HEK293T,HeLa,HEK293	6	5-9
26460568	186	HEK293	1	1
26816005	185	C2C12,LHCN-M2,BL-21,HEK293	4	2-4
24613305	184	HEK293T,U2OS	2	2-4
19167335	179	MRC-5,BL-21,HeLa	3	2-4
23555304	171	U2OS,HEK293	2	2-4
24725412	167	HEK293,SH-SY5Y	2	2-4
21729782	162	HEK293T,HeLa,HEK293,HeLa S3	4	2-4
26549023	157	HEK293T	1	1
22952844	156	HEK293T,Jurkat,MDA-MB-231,HL-60,HUVEC-C,COS-7,HEK293	7	5-9
